id,summary,priority,status
1,"Database connection timeout error occurred during peak hours causing service disruption","high","open"
2,"User authentication failed due to invalid credentials in login system","medium","resolved"
3,"Data validation error: missing required fields in customer registration form","high","open"
4,"API rate limiting exceeded causing 429 errors for mobile app users","medium","investigating"
5,"Database query performance degradation affecting report generation","high","open"
6,"File upload functionality broken - users unable to upload documents","critical","open"
7,"Email notification system not sending alerts to users","medium","resolved"
8,"Search functionality returning incorrect results for product catalog","high","investigating"
9,"Payment processing failed due to gateway timeout issues","critical","open"
10,"User session timeout occurring too frequently causing poor UX","medium","resolved"
11,"Data export feature generating corrupted CSV files","high","open"
12,"Mobile app crashing on iOS devices during navigation","critical","investigating"
13,"Web dashboard not loading properly in Chrome browser","medium","resolved"
14,"Database backup process failing during scheduled maintenance","high","open"
15,"API authentication token expiration causing service interruptions","medium","resolved"
16,"Data synchronization issues between primary and backup systems","high","investigating"
17,"User profile updates not saving correctly in database","medium","open"
18,"System logs showing excessive memory usage during peak traffic","high","monitoring"
19,"Email template rendering incorrectly in different email clients","medium","resolved"
20,"Payment gateway integration failing for international transactions","critical","open"
21,"Database connection pool exhausted causing request failures","high","investigating"
22,"User interface elements misaligned on mobile devices","medium","resolved"
23,"Data import process failing for large CSV files","high","open"
24,"API response times exceeding SLA requirements","medium","monitoring"
25,"System backup verification process failing regularly","high","open"
26,"User password reset functionality not working properly","medium","resolved"
27,"Database index corruption causing slow query performance","critical","investigating"
28,"Email delivery delays affecting notification system","medium","open"
29,"API documentation outdated causing integration issues","low","resolved"
30,"Data migration process failing for legacy system integration","high","open" 